Days,Region,Cases
0,Lower Silesia (DS),0
1,Lower Silesia (DS),0
2,Lower Silesia (DS),1
3,Lower Silesia (DS),1
4,Lower Silesia (DS),2
5,Lower Silesia (DS),3
6,Lower Silesia (DS),4
7,Lower Silesia (DS),4
8,Lower Silesia (DS),7
9,Lower Silesia (DS),8
10,Lower Silesia (DS),13
11,Lower Silesia (DS),15
12,Lower Silesia (DS),27
13,Lower Silesia (DS),38
14,Lower Silesia (DS),40
15,Lower Silesia (DS),53
16,Lower Silesia (DS),58
17,Lower Silesia (DS),66
18,Lower Silesia (DS),79
19,Lower Silesia (DS),101
20,Lower Silesia (DS),134
21,Lower Silesia (DS),150
22,Lower Silesia (DS),165
23,Lower Silesia (DS),193
0,Kuyavia-Pomerania (KP),0
1,Kuyavia-Pomerania (KP),0
2,Kuyavia-Pomerania (KP),0
3,Kuyavia-Pomerania (KP),0
4,Kuyavia-Pomerania (KP),0
5,Kuyavia-Pomerania (KP),0
6,Kuyavia-Pomerania (KP),0
7,Kuyavia-Pomerania (KP),0
8,Kuyavia-Pomerania (KP),0
9,Kuyavia-Pomerania (KP),0
10,Kuyavia-Pomerania (KP),0
11,Kuyavia-Pomerania (KP),0
12,Kuyavia-Pomerania (KP),0
13,Kuyavia-Pomerania (KP),8
14,Kuyavia-Pomerania (KP),8
15,Kuyavia-Pomerania (KP),11
16,Kuyavia-Pomerania (KP),14
17,Kuyavia-Pomerania (KP),18
18,Kuyavia-Pomerania (KP),18
19,Kuyavia-Pomerania (KP),21
20,Kuyavia-Pomerania (KP),22
21,Kuyavia-Pomerania (KP),27
22,Kuyavia-Pomerania (KP),31
23,Kuyavia-Pomerania (KP),33
0,Lubusz (LB),1
1,Lubusz (LB),1
2,Lubusz (LB),1
3,Lubusz (LB),1
4,Lubusz (LB),1
5,Lubusz (LB),1
6,Lubusz (LB),1
7,Lubusz (LB),1
8,Lubusz (LB),1
9,Lubusz (LB),1
10,Lubusz (LB),1
11,Lubusz (LB),2
12,Lubusz (LB),2
13,Lubusz (LB),2
14,Lubusz (LB),3
15,Lubusz (LB),9
16,Lubusz (LB),9
