,Lower Silesia (DS),Kuyavia-Pomerania (KP),Lubusz (LB),Łódź (LD),Lublin (LU),Lesser Poland (MA),Masovia (MZ; Warsaw),Opole (OP),Podlaskie (PD),Subcarpathian (PK),Pomerania (PM),Holy Cross (SK),Silesia (SL),Warmia–Masuria (WN),Greater Poland (WP),West Pomerania (ZP),Date
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-04
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-05
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2020-03-06
3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2020-03-07
4,2,0,1,0,0,0,2,0,0,0,0,0,2,2,0,2,2020-03-08
5,3,0,1,0,0,1,2,0,0,0,0,0,5,2,1,2,2020-03-09
6,4,0,1,0,1,1,3,0,0,0,0,0,7,2,1,2,2020-03-10
7,4,0,1,1,2,1,4,1,0,1,0,0,8,4,2,2,2020-03-11
8,7,0,1,2,6,1,6,2,0,3,0,0,11,4,5,3,2020-03-12
9,8,0,1,5,7,1,11,2,0,6,0,0,12,4,6,5,2020-03-13
10,13,0,1,15,15,1,16,4,0,7,2,2,12,4,7,5,2020-03-14
11,15,0,2,19,17,1,22,4,0,8,2,3,14,5,7,6,2020-03-15
12,27,0,2,31,18,2,35,6,0,11,2,3,18,5,11,6,2020-03-16
13,38,8,2,42,22,5,38,8,1,11,8,3,24,7,13,8,2020-03-17
14,40,8,3,42,22,6,66,9,2,14,9,4,30,11,13,8,2020-03-18
15,53,11,9,48,25,7,82,10,1,17,9,5,42,12,15,9,2020-03-19
16,58,14,9,57,28,14,107,10,3,19,10,6,46,17,18,9,2020-03-20
17,66,18,9,91,31,16,127,10,5,25,14,7,56,20,31,10,2020-03-21
18,79,18,11,106,39,24,147,14,6,29,17,7,66,22,37,12,2020-03-22
19,101,21,16,111,48,33,175,19,7,30,21,8,77,25,41,16,2020-03-23
20,134,22,21,129,54,49,212,21,7,37,22,8,87,29,43,25,2020-03-24
21,150,27,23,144,60,56,251,23,10,43,22,14,107,33,58,30,2020-03-25
22,165,31,30,158,74,69,291,26,13,53,28,15,127,39,70,32,2020-03-26
23,193,33,31,168,78,93,318,28,17,61,32,22,141,44,91,39,2020-03-27
24,214,37,33,182,87,112,421,31,26,71,36,27,165,46,100,50,2020-03-28
25,234,47,33,190,105,150,461,43,28,76,45,34,195,56,109,56,2020-03-29
26,258,72,36,202,114,174,487,54,36,80,48,37,209,57,133,58,2020-03-30
27,274,76,42,208,132,192,544,70,36,95,54,49,264,58,149,68,2020-03-31
28,326,84,47,221,133,209,612,75,47,104,60,55,272,61,170,78,2020-04-01
29,338,157,48,236,151,230,754,78,59,111,70,62,301,67,196,88,2020-04-02
30,400,199,50,248,158,262,808,90,74,125,82,79,431,75,214,88,2020-04-03
31,407,224,56,259,165,308,808,90,82,136,104,81,496,78,234,99,2020-04-04
32,468,241,59,326,174,327,967,94,91,149,117,93,537,80,274,105,2020-04-05
33,488,245,62,340,181,349,1065,101,109,156,125,103,562,83,328,116,2020-04-06
34,527,264,62,358,192,371,1247,107,127,166,135,120,601,87,350,132,2020-04-07
35,539,277,66,400,199,398,1314,116,149,180,143,127,644,92,395,164,2020-04-08
36,560,280,68,400,202,420,1314,123,160,187,152,129,667,95,413,169,2020-04-09
