date,cases,daily_cases
1/22/20,0,
1/23/20,0,0.0
1/24/20,0,0.0
1/25/20,0,0.0
1/26/20,0,0.0
1/27/20,0,0.0
1/28/20,0,0.0
1/29/20,0,0.0
1/30/20,0,0.0
1/31/20,0,0.0
2/1/20,0,0.0
2/2/20,0,0.0
2/3/20,0,0.0
2/4/20,0,0.0
2/5/20,0,0.0
2/6/20,0,0.0
2/7/20,0,0.0
2/8/20,0,0.0
2/9/20,0,0.0
2/10/20,0,0.0
2/11/20,0,0.0
2/12/20,0,0.0
2/13/20,0,0.0
2/14/20,0,0.0
2/15/20,0,0.0
2/16/20,0,0.0
2/17/20,0,0.0
2/18/20,0,0.0
2/19/20,0,0.0
2/20/20,0,0.0
2/21/20,0,0.0
2/22/20,0,0.0
2/23/20,0,0.0
2/24/20,0,0.0
2/25/20,0,0.0
2/26/20,0,0.0
2/27/20,0,0.0
2/28/20,0,0.0
2/29/20,0,0.0
3/1/20,0,0.0
3/2/20,0,0.0
3/3/20,0,0.0
3/4/20,1,1.0
3/5/20,1,0.0
3/6/20,5,4.0
3/7/20,5,0.0
3/8/20,11,6.0
3/9/20,16,5.0
3/10/20,22,6.0
3/11/20,31,9.0
3/12/20,49,18.0
3/13/20,68,19.0
3/14/20,103,35.0
3/15/20,119,16.0
3/16/20,177,58.0
3/17/20,238,61.0
3/18/20,251,13.0
3/19/20,355,104.0
3/20/20,425,70.0
3/21/20,536,111.0
3/22/20,634,98.0
3/23/20,749,115.0
3/24/20,901,152.0
3/25/20,1051,150.0
3/26/20,1221,170.0
3/27/20,1389,168.0
3/28/20,1638,249.0
3/29/20,1862,224.0
3/30/20,2055,193.0
3/31/20,2311,256.0
4/1/20,2554,243.0
4/2/20,2946,392.0
4/3/20,3383,437.0
4/4/20,3627,244.0
4/5/20,4102,475.0
4/6/20,4413,311.0
4/7/20,4848,435.0
4/8/20,5205,357.0
4/9/20,5575,370.0
4/10/20,5955,380.0
4/11/20,6356,401.0
4/12/20,6674,318.0
4/13/20,6934,260.0
4/14/20,7202,268.0
4/15/20,7582,380.0
4/16/20,7918,336.0
4/17/20,8379,461.0
4/18/20,8742,363.0
4/19/20,9287,545.0
4/20/20,9593,306.0
4/21/20,9856,263.0
4/22/20,10169,313.0
4/23/20,10511,342.0
4/24/20,10892,381.0
4/25/20,11273,381.0
4/26/20,11617,344.0
4/27/20,11902,285.0
4/28/20,12218,316.0
4/29/20,12640,422.0
4/30/20,12877,237.0
5/1/20,13105,228.0
5/2/20,13375,270.0
5/3/20,13693,318.0
5/4/20,14006,313.0
5/5/20,14431,425.0
5/6/20,14740,309.0
5/7/20,15047,307.0
5/8/20,15366,319.0
5/9/20,15651,285.0
5/10/20,15996,345.0
5/11/20,16326,330.0
5/12/20,16921,595.0
5/13/20,17204,283.0
5/14/20,17615,411.0
5/15/20,18016,401.0
5/16/20,18257,241.0
5/17/20,18529,272.0
5/18/20,18885,356.0
5/19/20,19268,383.0
5/20/20,19739,471.0
5/21/20,20143,404.0
5/22/20,20619,476.0
5/23/20,20931,312.0
5/24/20,21326,395.0
5/25/20,21631,305.0
5/26/20,22074,443.0
5/27/20,22473,399.0
5/28/20,22825,352.0
5/29/20,23155,330.0
5/30/20,23571,416.0
5/31/20,23786,215.0
6/1/20,24165,379.0
6/2/20,24395,230.0
6/3/20,24687,292.0
6/4/20,25048,361.0
6/5/20,25410,362.0
6/6/20,25986,576.0
6/7/20,26561,575.0
6/8/20,27160,599.0
6/9/20,27560,400.0
6/10/20,27842,282.0
6/11/20,28201,359.0
6/12/20,28577,376.0
6/13/20,29017,440.0
6/14/20,29392,375.0
6/15/20,29788,396.0
6/16/20,30195,407.0
6/17/20,30701,506.0
6/18/20,31015,314.0
6/19/20,31316,301.0
6/20/20,31620,304.0
6/21/20,31931,311.0
6/22/20,32227,296.0
6/23/20,32527,300.0
6/24/20,32821,294.0
6/25/20,33119,298.0
6/26/20,33395,276.0
6/27/20,33714,319.0
6/28/20,33907,193.0
6/29/20,34154,247.0
6/30/20,34393,239.0
7/1/20,34775,382.0
7/2/20,35146,371.0
7/3/20,35405,259.0
7/4/20,35719,314.0
7/5/20,35950,231.0
7/6/20,36155,205.0
7/7/20,36412,257.0
7/8/20,36689,277.0
7/9/20,36951,262.0
7/10/20,37216,265.0
7/11/20,37521,305.0
7/12/20,37891,370.0
7/13/20,38190,299.0
7/14/20,38457,267.0
7/15/20,38721,264.0
7/16/20,39054,333.0
7/17/20,39407,353.0
7/18/20,39746,339.0
7/19/20,40104,358.0
7/20/20,40383,279.0
7/21/20,40782,399.0
7/22/20,41162,380.0
7/23/20,41580,418.0
7/24/20,42038,458.0
7/25/20,42622,584.0
7/26/20,43065,443.0
7/27/20,43402,337.0
7/28/20,43904,502.0
7/29/20,44416,512.0
7/30/20,45031,615.0
7/31/20,45688,657.0
8/1/20,46346,658.0
8/2/20,46894,548.0
8/3/20,47469,575.0
